PG,SG,SF,PF,C,G,F,UTIL,Projected Points,Points
James Harden,Damyean Dotson,Jerami Grant,Anthony Davis,Jarrett Allen,Frank Ntilikina,Michael Beasley,Clint Capela,260.0,253.5
D'Angelo Russell,Damyean Dotson,Kevin Durant,LaMarcus Aldridge,Clint Capela,Frank Ntilikina,Jerami Grant,Trey Burke,259.4,247.75
D'Angelo Russell,Damyean Dotson,Jerami Grant,Draymond Green,Clint Capela,Russell Westbrook,Michael Beasley,John Henson,258.7,259.0
James Harden,Justin Holiday,Jerami Grant,LaMarcus Aldridge,Clint Capela,Damian Lillard,Kyle Anderson,Damyean Dotson,258.5,258.0
Russell Westbrook,Damyean Dotson,Michael Beasley,Kyle O'Quinn,Jarrett Allen,Khris Middleton,Kyle Anderson,Clint Capela,258.5,269.75
Russell Westbrook,Damyean Dotson,Jerami Grant,Kyle O'Quinn,Clint Capela,Frank Ntilikina,Paul George,Damian Lillard,258.5,282.75
Frank Ntilikina,Justin Holiday,Kevin Durant,Draymond Green,Clint Capela,Damyean Dotson,Michael Beasley,Khris Middleton,258.0,252.25
D'Angelo Russell,Justin Holiday,Paul George,Kyle O'Quinn,Clint Capela,James Harden,Michael Beasley,Damyean Dotson,257.9,265.75
James Harden,Damyean Dotson,Jerami Grant,Kyle O'Quinn,Clint Capela,Trey Burke,Jabari Parker,Khris Middleton,257.9,274.75
Trey Burke,Damyean Dotson,Jerami Grant,LaMarcus Aldridge,Jarrett Allen,Damian Lillard,Michael Beasley,Khris Middleton,257.8,247.5
D'Angelo Russell,Justin Holiday,Jerami Grant,LaMarcus Aldridge,Jarrett Allen,Russell Westbrook,Paul George,Damyean Dotson,257.5,265.25
D'Angelo Russell,Khris Middleton,Jerami Grant,Kyle O'Quinn,Jarrett Allen,James Harden,Paul George,Frank Ntilikina,257.4,265.0
Damian Lillard,Damyean Dotson,Kevin Durant,Draymond Green,Jarrett Allen,Patty Mills,Jerami Grant,Clint Capela,257.0,266.0
Russell Westbrook,Courtney Lee,Jerami Grant,LaMarcus Aldridge,Clint Capela,Frank Ntilikina,Michael Beasley,Steven Adams,256.8,243.25
James Harden,Justin Holiday,Jerami Grant,Draymond Green,Clint Capela,Frank Ntilikina,Paul George,Steven Adams,256.6,242.25
Russell Westbrook,Khris Middleton,Kevon Looney,Draymond Green,Jarrett Allen,Frank Ntilikina,Jerami Grant,Clint Capela,256.5,240.5
James Harden,Justin Holiday,Kevin Durant,Kyle O'Quinn,Jarrett Allen,Courtney Lee,Jerami Grant,Clint Capela,256.5,278.0
D'Angelo Russell,Damyean Dotson,Jerami Grant,Anthony Davis,Clint Capela,CJ McCollum,Kyle Anderson,Khris Middleton,256.4,252.25
D'Angelo Russell,Justin Holiday,Kevin Durant,Luke Kornet,Clint Capela,Russell Westbrook,Kyle Anderson,Damyean Dotson,256.4,255.75
D'Angelo Russell,Justin Holiday,Kevin Durant,Anthony Davis,Jarrett Allen,Frank Ntilikina,Kyle O'Quinn,Damyean Dotson,256.3,295.75
D'Angelo Russell,Damyean Dotson,Jerami Grant,Kyle O'Quinn,Steven Adams,James Harden,LaMarcus Aldridge,John Henson,256.3,286.5
D'Angelo Russell,Damyean Dotson,Trevor Ariza,LaMarcus Aldridge,Jarrett Allen,James Harden,Rudy Gay,Clint Capela,256.3,235.75
Eric Bledsoe,Damyean Dotson,Carmelo Anthony,LaMarcus Aldridge,Clint Capela,Frank Ntilikina,Michael Beasley,Damian Lillard,256.2,263.0
D'Angelo Russell,Damyean Dotson,Michael Beasley,LaMarcus Aldridge,Clint Capela,Quinn Cook,Jabari Parker,Khris Middleton,256.2,263.75
James Harden,Damyean Dotson,Kevin Durant,Kyle O'Quinn,Clint Capela,Frank Ntilikina,Trevor Ariza,Patty Mills,256.1,268.25
Russell Westbrook,Justin Holiday,Michael Beasley,Kyle O'Quinn,Clint Capela,Frank Ntilikina,Jabari Parker,Trey Burke,256.1,267.25
James Harden,Damyean Dotson,Jerami Grant,Draymond Green,Steven Adams,Patty Mills,Michael Beasley,Khris Middleton,256.1,248.75
Russell Westbrook,Damyean Dotson,Michael Beasley,LaMarcus Aldridge,John Henson,Frank Ntilikina,Kyle Anderson,Trey Burke,256.1,257.25
James Harden,Damyean Dotson,P.J. Tucker,LaMarcus Aldridge,Clint Capela,Frank Ntilikina,Paul George,John Henson,256.1,275.0
Russell Westbrook,Justin Holiday,Jerami Grant,Anthony Davis,Clint Capela,Frank Ntilikina,Kyle Anderson,John Henson,256.1,276.25
Frank Ntilikina,Khris Middleton,Paul George,LaMarcus Aldridge,Jarrett Allen,Patty Mills,Michael Beasley,Clint Capela,256.0,240.75
Jrue Holiday,Justin Holiday,Jerami Grant,Kyle O'Quinn,Clint Capela,Damian Lillard,Michael Beasley,Khris Middleton,256.0,280.75
D'Angelo Russell,Damyean Dotson,Kevon Looney,Draymond Green,Clint Capela,James Harden,Kyle Anderson,Trey Burke,255.9,229.25
D'Angelo Russell,Damyean Dotson,Jerami Grant,Draymond Green,Jarrett Allen,James Harden,Jabari Parker,Eric Bledsoe,255.8,270.5
D'Angelo Russell,Damyean Dotson,Kevin Durant,Luke Kornet,Jarrett Allen,James Harden,Michael Beasley,Patty Mills,255.8,247.75
D'Angelo Russell,Damyean Dotson,Darius Miller,Anthony Davis,Clint Capela,Russell Westbrook,P.J. Tucker,Frank Ntilikina,255.6,263.25
Russell Westbrook,Damyean Dotson,P.J. Tucker,Draymond Green,Jarrett Allen,Frank Ntilikina,Michael Beasley,Damian Lillard,255.6,264.5
James Harden,Damyean Dotson,Kevon Looney,Luke Kornet,Jarrett Allen,Russell Westbrook,Jerami Grant,Damian Lillard,255.6,252.25
D'Angelo Russell,Damyean Dotson,Kevin Durant,Kyle O'Quinn,Clint Capela,Khris Middleton,Rudy Gay,John Henson,255.6,293.5
D'Angelo Russell,Courtney Lee,Jerami Grant,Rondae Hollis-Jefferson,Clint Capela,James Harden,Michael Beasley,Trey Burke,255.6,215.25
D'Angelo Russell,Khris Middleton,Jerami Grant,Luke Kornet,Clint Capela,Trey Burke,Paul George,Damian Lillard,255.6,231.25
James Harden,Damyean Dotson,Michael Beasley,Luke Kornet,Clint Capela,Damian Lillard,Jabari Parker,Steven Adams,255.6,249.75
Chris Paul,Damyean Dotson,Paul George,LaMarcus Aldridge,Jarrett Allen,Trey Burke,Kyle Anderson,Clint Capela,255.5,245.5
D'Angelo Russell,Courtney Lee,Jerami Grant,Kyle O'Quinn,Jarrett Allen,Russell Westbrook,Michael Beasley,Damian Lillard,255.4,272.0
D'Angelo Russell,Justin Holiday,Jerami Grant,Anthony Davis,Jarrett Allen,Khris Middleton,Michael Beasley,Steven Adams,255.4,254.75
D'Angelo Russell,Khris Middleton,Jerami Grant,Kyle O'Quinn,Clint Capela,Russell Westbrook,P.J. Tucker,Patty Mills,255.3,282.0
Quinn Cook,Khris Middleton,Kevin Durant,Kyle O'Quinn,Clint Capela,Frank Ntilikina,Jerami Grant,Steven Adams,255.3,280.75
Trey Burke,Justin Holiday,Darius Miller,Anthony Davis,Clint Capela,Damian Lillard,Michael Beasley,Damyean Dotson,255.3,245.5
D'Angelo Russell,Damyean Dotson,Carmelo Anthony,Kyle O'Quinn,Clint Capela,Russell Westbrook,Jabari Parker,Steven Adams,255.2,290.25
Frank Ntilikina,Damyean Dotson,Kevin Durant,Anthony Davis,John Henson,Patty Mills,Jerami Grant,Khris Middleton,255.2,294.25
D'Angelo Russell,Justin Holiday,Kevon Looney,LaMarcus Aldridge,Clint Capela,James Harden,Jabari Parker,Frank Ntilikina,255.2,248.0
Russell Westbrook,Justin Holiday,Trevor Ariza,Kyle O'Quinn,Clint Capela,Damyean Dotson,LaMarcus Aldridge,John Henson,255.1,283.5
Trey Burke,Courtney Lee,Kevin Durant,Kyle O'Quinn,Clint Capela,CJ McCollum,Michael Beasley,Damyean Dotson,255.1,260.25
Eric Bledsoe,Courtney Lee,Jerami Grant,Anthony Davis,Clint Capela,Trey Burke,Paul George,Damyean Dotson,255.1,271.5
James Harden,Damyean Dotson,Paul George,Kyle O'Quinn,Jarrett Allen,Damian Lillard,Kyle Anderson,John Henson,255.1,294.5
James Harden,Damyean Dotson,Jerami Grant,Rondae Hollis-Jefferson,John Henson,Russell Westbrook,Jabari Parker,Frank Ntilikina,255.0,272.5
James Harden,Justin Holiday,P.J. Tucker,Kyle O'Quinn,Jarrett Allen,Damyean Dotson,LaMarcus Aldridge,Khris Middleton,255.0,289.75
Russell Westbrook,Damyean Dotson,Jerami Grant,LaMarcus Aldridge,Clint Capela,Khris Middleton,Rudy Gay,Tyler Zeller,255.0,259.75
Frank Ntilikina,Damyean Dotson,Paul George,LaMarcus Aldridge,Steven Adams,Damian Lillard,Kyle Anderson,Khris Middleton,255.0,259.75
Russell Westbrook,Damyean Dotson,Kevin Durant,Jordan Bell,Jarrett Allen,Frank Ntilikina,Jabari Parker,Clint Capela,254.9,253.25
James Harden,Damyean Dotson,Darius Miller,Draymond Green,Jarrett Allen,Khris Middleton,Carmelo Anthony,Clint Capela,254.9,239.75
Russell Westbrook,Justin Holiday,Kevon Looney,Anthony Davis,Steven Adams,Frank Ntilikina,Michael Beasley,Damyean Dotson,254.9,264.25
Frank Ntilikina,Justin Holiday,Kevin Durant,LaMarcus Aldridge,Jarrett Allen,Damian Lillard,Jerami Grant,John Henson,254.8,278.0
Jerian Grant,Justin Holiday,Kevin Durant,Anthony Davis,Clint Capela,Damyean Dotson,Jerami Grant,Steven Adams,254.8,272.75
D'Angelo Russell,Justin Holiday,Jerami Grant,LaMarcus Aldridge,Clint Capela,Chris Paul,Carmelo Anthony,Khris Middleton,254.8,252.25
D'Angelo Russell,Damyean Dotson,Michael Beasley,Rondae Hollis-Jefferson,John Henson,James Harden,Kyle Anderson,Khris Middleton,254.8,246.25
D'Angelo Russell,Klay Thompson,Paul George,Draymond Green,Jarrett Allen,Damyean Dotson,Michael Beasley,Khris Middleton,254.8,240.5
D'Angelo Russell,Damyean Dotson,Darius Miller,Kyle O'Quinn,Clint Capela,CJ McCollum,LaMarcus Aldridge,Damian Lillard,254.8,254.5
D'Angelo Russell,Damyean Dotson,Paul George,LaMarcus Aldridge,John Henson,Damian Lillard,Michael Beasley,Patty Mills,254.8,271.75
James Harden,E'Twaun Moore,Darius Miller,LaMarcus Aldridge,Clint Capela,Frank Ntilikina,Jerami Grant,Khris Middleton,254.7,231.5
James Harden,Justin Holiday,Jerami Grant,LaMarcus Aldridge,John Henson,Courtney Lee,Michael Beasley,Khris Middleton,254.7,262.0
James Harden,Khris Middleton,Kevon Looney,Kyle O'Quinn,Clint Capela,Frank Ntilikina,Michael Beasley,John Henson,254.7,263.25
D'Angelo Russell,Justin Holiday,Jerami Grant,Anthony Davis,Clint Capela,Quinn Cook,Kyle O'Quinn,Trey Burke,254.7,278.5
D'Angelo Russell,Damyean Dotson,Michael Beasley,Draymond Green,Steven Adams,Chris Paul,LaMarcus Aldridge,Frank Ntilikina,254.7,241.75
D'Angelo Russell,Courtney Lee,Carmelo Anthony,Anthony Davis,Clint Capela,Frank Ntilikina,Michael Beasley,Khris Middleton,254.7,251.75
D'Angelo Russell,Courtney Lee,Kevin Durant,LaMarcus Aldridge,Jarrett Allen,Damyean Dotson,Kyle Anderson,Khris Middleton,254.6,263.25
Jrue Holiday,Damyean Dotson,Trevor Ariza,Rondae Hollis-Jefferson,Clint Capela,Russell Westbrook,Michael Beasley,Frank Ntilikina,254.6,237.75
Frank Ntilikina,Damyean Dotson,Trevor Ariza,Anthony Davis,Clint Capela,Damian Lillard,Rudy Gay,Khris Middleton,254.6,255.75
Chris Paul,Damyean Dotson,Carmelo Anthony,Draymond Green,Clint Capela,Russell Westbrook,Kyle Anderson,Frank Ntilikina,254.6,256.0
CJ McCollum,Justin Holiday,Paul George,Anthony Davis,Jarrett Allen,Damyean Dotson,Jabari Parker,Clint Capela,254.6,273.25
Eric Bledsoe,Damyean Dotson,Michael Beasley,Rondae Hollis-Jefferson,Jarrett Allen,Trey Burke,Draymond Green,Clint Capela,254.5,231.25
Frank Ntilikina,Khris Middleton,Kevin Durant,Luke Kornet,Jarrett Allen,Damian Lillard,Kyle Anderson,Clint Capela,254.5,244.0
Frank Ntilikina,Damyean Dotson,Jabari Parker,Anthony Davis,Clint Capela,Patty Mills,LaMarcus Aldridge,Steven Adams,254.5,276.25
James Harden,Damyean Dotson,Paul George,Bobby Portis,Steven Adams,Frank Ntilikina,Michael Beasley,Trey Burke,254.5,238.75
James Harden,Justin Holiday,Darius Miller,Bobby Portis,Jarrett Allen,Russell Westbrook,Michael Beasley,Damyean Dotson,254.5,245.5
