PG,SG,SF,PF,C,G,F,UTIL,Projected Points,Points
Tyler Dorsey,Jaylen Brown,Marvin Williams,Dewayne Dedmon,Myles Turner,Victor Oladipo,Dorian Finney-Smith,Ben Simmons,243.3,193.5
Tyler Dorsey,Marco Belinelli,Robert Covington,John Collins,Myles Turner,Victor Oladipo,Frank Kaminsky,Ben Simmons,242.9,223.5
Tyler Dorsey,Damion Lee,Marvin Williams,John Collins,Dwight Howard,Victor Oladipo,Harrison Barnes,Myles Turner,242.1,204.75
Tyler Dorsey,Marco Belinelli,Marvin Williams,John Collins,Dwight Howard,Ben Simmons,Dorian Finney-Smith,Dennis Smith,241.7,244.75
Tyler Dorsey,Damion Lee,Dorian Finney-Smith,Al Horford,Dwight Howard,Victor Oladipo,Dewayne Dedmon,Marco Belinelli,241.5,212.75
Tyler Dorsey,Damion Lee,Jayson Tatum,Al Horford,Myles Turner,Ben Simmons,John Collins,Dewayne Dedmon,241.5,208.0
Darren Collison,Damion Lee,Dorian Finney-Smith,Frank Kaminsky,Myles Turner,Victor Oladipo,Harrison Barnes,Ben Simmons,241.4,207.5
Malik Monk,Jaylen Brown,Robert Covington,John Collins,Myles Turner,Ben Simmons,Dorian Finney-Smith,Harrison Barnes,241.3,222.0
Darren Collison,Marco Belinelli,Marvin Williams,Dewayne Dedmon,Aron Baynes,Victor Oladipo,Robert Covington,Ben Simmons,241.3,236.25
Tyler Dorsey,Marco Belinelli,Michael Kidd-Gilchrist,Dewayne Dedmon,Dwight Howard,Ben Simmons,Harrison Barnes,Myles Turner,241.2,174.75
Victor Oladipo,Jaylen Brown,Harrison Barnes,John Collins,Aron Baynes,Ben Simmons,Dewayne Dedmon,Frank Kaminsky,241.1,223.0
Tyler Dorsey,Damion Lee,Robert Covington,Mike Muscala,Dwight Howard,Ben Simmons,Dorian Finney-Smith,Myles Turner,241.1,197.0
Terry Rozier,Marco Belinelli,Marvin Williams,Al Horford,Myles Turner,Darren Collison,Dorian Finney-Smith,Ben Simmons,241.0,210.0
Darren Collison,Jaylen Brown,Dorian Finney-Smith,Al Horford,Myles Turner,Victor Oladipo,John Collins,Dennis Smith,241.0,220.0
Tyler Dorsey,Marco Belinelli,Harrison Barnes,Al Horford,Aron Baynes,Victor Oladipo,Amir Johnson,Ben Simmons,241.0,214.75
Victor Oladipo,Marco Belinelli,Marvin Williams,Al Horford,Myles Turner,Dennis Smith,Harrison Barnes,Dewayne Dedmon,240.9,238.5
Tyler Dorsey,Jaylen Brown,Michael Kidd-Gilchrist,John Collins,Dwight Howard,Victor Oladipo,Dewayne Dedmon,Dennis Smith,240.8,222.5
Terry Rozier,Marco Belinelli,Dorian Finney-Smith,John Collins,Miles Plumlee,Victor Oladipo,Dewayne Dedmon,Ben Simmons,240.7,219.5
Tyler Dorsey,Jeremy Lamb,Dorian Finney-Smith,Al Horford,Myles Turner,Ben Simmons,Harrison Barnes,Dennis Smith,240.7,206.0
Tyler Dorsey,Damion Lee,Marvin Williams,Al Horford,Dwight Howard,Malik Monk,Frank Kaminsky,Ben Simmons,240.7,242.75
Tyler Dorsey,Jaylen Brown,Robert Covington,Amir Johnson,Myles Turner,Terry Rozier,Harrison Barnes,Victor Oladipo,240.7,197.5
Tyler Dorsey,Jeremy Lamb,Robert Covington,John Collins,Dwight Howard,Darren Collison,Dorian Finney-Smith,Victor Oladipo,240.7,203.5
Tyler Dorsey,Nicolas Batum,Robert Covington,Al Horford,Myles Turner,Darren Collison,Dewayne Dedmon,Victor Oladipo,240.6,186.5
Terry Rozier,Jeremy Lamb,Marvin Williams,John Collins,Myles Turner,Ben Simmons,Harrison Barnes,Dewayne Dedmon,240.6,203.75
Tyler Dorsey,Jaylen Brown,Robert Covington,John Collins,Aron Baynes,Ben Simmons,Amir Johnson,Dwight Howard,240.6,205.5
Malik Monk,Marco Belinelli,Marvin Williams,John Collins,Dwight Howard,Victor Oladipo,Greg Monroe,Dewayne Dedmon,240.5,240.75
Victor Oladipo,Damion Lee,Marvin Williams,Al Horford,Myles Turner,Ben Simmons,Mike Muscala,Amir Johnson,240.4,222.0
Malik Monk,Marco Belinelli,Dorian Finney-Smith,Greg Monroe,Myles Turner,Victor Oladipo,Richaun Holmes,Ben Simmons,240.3,214.25
Malik Monk,Damion Lee,Jayson Tatum,Dewayne Dedmon,Aron Baynes,Victor Oladipo,Dorian Finney-Smith,Ben Simmons,240.3,238.0
Tyler Dorsey,Jaylen Brown,Marvin Williams,Mike Muscala,Dwight Howard,Malik Monk,Robert Covington,Victor Oladipo,240.3,234.0
Victor Oladipo,Jaylen Brown,Dorian Finney-Smith,John Collins,Dwight Howard,Marco Belinelli,Harrison Barnes,Amir Johnson,240.2,210.75
Ben Simmons,Jaylen Brown,Marvin Williams,John Collins,Dwight Howard,Damion Lee,Dewayne Dedmon,Maxi Kleber,240.1,237.0
Terry Rozier,Damion Lee,Marvin Williams,Frank Kaminsky,Myles Turner,Ben Simmons,Robert Covington,Dennis Smith,240.1,264.0
Tyler Dorsey,Jaylen Brown,Dorian Finney-Smith,Greg Monroe,Dwight Howard,Darren Collison,Frank Kaminsky,Ben Simmons,240.0,193.5
Tyler Dorsey,Damion Lee,Thaddeus Young,Greg Monroe,Myles Turner,Victor Oladipo,Michael Kidd-Gilchrist,Ben Simmons,240.0,185.0
Malik Monk,Jaylen Brown,Dorian Finney-Smith,Mike Muscala,Dwight Howard,Ben Simmons,Dewayne Dedmon,Marco Belinelli,240.0,214.0
Tyler Dorsey,Marco Belinelli,Jayson Tatum,Greg Monroe,Myles Turner,Terry Rozier,Dewayne Dedmon,Victor Oladipo,239.9,197.5
Victor Oladipo,Damion Lee,Michael Kidd-Gilchrist,John Collins,Aron Baynes,Ben Simmons,Robert Covington,Dennis Smith,239.9,270.25
Darren Collison,Nicolas Batum,Marvin Williams,John Collins,Myles Turner,Victor Oladipo,Michael Kidd-Gilchrist,Ben Simmons,239.9,200.5
Victor Oladipo,Nicolas Batum,Robert Covington,Amir Johnson,Aron Baynes,Ben Simmons,Dorian Finney-Smith,Myles Turner,239.9,193.75
Terry Rozier,Jaylen Brown,Marvin Williams,Al Horford,Aron Baynes,Malik Monk,Dewayne Dedmon,Ben Simmons,239.9,235.25
Terry Rozier,Marco Belinelli,Marvin Williams,Dewayne Dedmon,Dwight Howard,Ben Simmons,Frank Kaminsky,Amir Johnson,239.8,225.5
Darren Collison,Jaylen Brown,Robert Covington,Dewayne Dedmon,Myles Turner,Ben Simmons,Maxi Kleber,Dennis Smith,239.8,229.25
Malik Monk,Damion Lee,Marvin Williams,John Collins,Myles Turner,Kemba Walker,Greg Monroe,Ben Simmons,239.8,218.75
Tyler Dorsey,Damion Lee,Robert Covington,Dewayne Dedmon,Dwight Howard,Terry Rozier,Harrison Barnes,Malik Monk,239.8,229.25
Terry Rozier,Damion Lee,Thaddeus Young,Dewayne Dedmon,Myles Turner,Victor Oladipo,Robert Covington,Dorian Finney-Smith,239.8,201.5
Darren Collison,Nicolas Batum,Dorian Finney-Smith,John Collins,Aron Baynes,Ben Simmons,Dewayne Dedmon,Dwight Howard,239.7,186.25
Tyler Dorsey,Nicolas Batum,Marvin Williams,Al Horford,Dwight Howard,Terry Rozier,John Collins,Dewayne Dedmon,239.7,208.25
Ben Simmons,Jaylen Brown,Robert Covington,Al Horford,Aron Baynes,Dennis Smith,Dorian Finney-Smith,Marco Belinelli,239.7,254.0
Tyler Dorsey,Nicolas Batum,Marvin Williams,Greg Monroe,Myles Turner,Ben Simmons,Robert Covington,Harrison Barnes,239.7,204.0
Tyler Dorsey,Jaylen Brown,Robert Covington,Dewayne Dedmon,Dwight Howard,Kemba Walker,Frank Kaminsky,Myles Turner,239.7,167.75
Kemba Walker,Damion Lee,Robert Covington,Dewayne Dedmon,Myles Turner,Ben Simmons,Amir Johnson,Marco Belinelli,239.6,197.75
