,GID,Position,Name,Score,Salary,Team,Opponent
0,201610250CLE,PG,Kay Felder,0.0,3100,CLE,NYK
1,201610250CLE,PG,Jordan McRae,2.0,3400,CLE,NYK
2,201610250CLE,SG,Sasha Vujacic,2.0,3000,NYK,CLE
3,201610250CLE,C,Chris Andersen,4.0,3000,CLE,NYK
4,201610250CLE,C,Willy Hernangomez,4.75,3000,NYK,CLE
5,201610250CLE,PG,Mo Williams,0.0,3000,CLE,NYK
6,201610250CLE,SF/PF,LeBron James,58.25,9000,CLE,NYK
7,201610250CLE,PF,Kristaps Porzingis,31.25,7400,NYK,CLE
8,201610250CLE,SF,Carmelo Anthony,30.25,7600,NYK,CLE
9,201610250CLE,SG,Courtney Lee,4.75,3700,NYK,CLE
10,201610250CLE,SF,Richard Jefferson,23.5,3000,CLE,NYK
11,201610250CLE,C,Tristan Thompson,6.5,5100,CLE,NYK
12,201610250CLE,SG/SF,Mike Dunleavy,18.0,3000,CLE,NYK
13,201610250CLE,PF,Channing Frye,15.5,3200,CLE,NYK
14,201610250CLE,SF,Mindaugas Kuzminskas,8.75,3000,NYK,CLE
15,201610250CLE,SF/PF,Lance Thomas,8.25,3100,NYK,CLE
16,201610250CLE,PF/C,Kyle O'Quinn,13.25,3200,NYK,CLE
17,201610250CLE,C,Joakim Noah,13.5,5500,NYK,CLE
18,201610250CLE,PF/C,Kevin Love,48.5,7000,CLE,NYK
19,201610250CLE,SG/SF,Justin Holiday,21.5,3000,NYK,CLE
20,201610250CLE,SG,James Jones,5.5,3000,CLE,NYK
21,201610250CLE,PF,Maurice N'dour,0.0,3000,NYK,CLE
22,201610250CLE,SG,Ron Baker,6.75,3000,NYK,CLE
23,201610250CLE,PG,Kyrie Irving,43.5,8000,CLE,NYK
24,201610250CLE,C,Marshall Plumlee,0.0,3000,NYK,CLE
25,201610250CLE,PG,Brandon Jennings,17.75,4500,NYK,CLE
26,201610250CLE,SG,J.R. Smith,17.75,4100,CLE,NYK
27,201610250CLE,SG,DeAndre Liggins,13.75,3000,CLE,NYK
28,201610250CLE,PG,Derrick Rose,22.75,5800,NYK,CLE
29,201610250CLE,SG,Iman Shumpert,10.0,3100,CLE,NYK
30,201610250GSW,SG,Danny Green,0.0,4200,SAS,GSW
31,201610250GSW,SF,Kyle Anderson,10.5,3500,SAS,GSW
32,201610250GSW,SF,Andre Iguodala,10.5,3500,GSW,SAS
33,201610250GSW,SG/SF,Patrick McCaw,9.0,3000,GSW,SAS
34,201610250GSW,C,JaVale McGee,2.0,3000,GSW,SAS
35,201610250GSW,PG,Stephen Curry,35.25,9600,GSW,SAS
36,201610250GSW,SG,Jonathon Simmons,32.0,3000,SAS,GSW
