,GID,DK Positions,Name,L5 DvP,Rest,Projected Points
0,201610250CLE,C,Willy Hernangómez,26.0,3,10.8
1,201610250CLE,PG,Jordan McRae,26.0,3,12.8
2,201610250CLE,SG,Ron Baker,20.0,3,10.8
3,201610250CLE,SF,Mindaugas Kuzminskas,7.0,3,10.8
4,201610250CLE,SG,Courtney Lee,20.0,3,14.3
5,201610250CLE,SG,DeAndre Liggins,4.0,3,10.8
6,201610250CLE,SG,Justin Holiday,20.0,3,8.5
7,201610250CLE,SG,Sasha Vujacic,20.0,3,7.8
8,201610250CLE,SG,J.R. Smith,4.0,3,16.3
9,201610250CLE,PG,Brandon Jennings,6.0,3,18.3
10,201610250CLE,C,Tristan Thompson,8.0,3,21.5
11,201610250CLE,SF,Richard Jefferson,20.0,3,0.0
12,201610250CLE,C,Chris Andersen,8.0,3,0.0
13,201610250CLE,C,Joakim Noah,26.0,3,23.5
14,201610250CLE,PG,Derrick Rose,6.0,3,25.0
15,201610250CLE,SG,Mike Dunleavy,4.0,3,0.0
16,201610250CLE,PF,Kristaps Porziņģis,10.0,3,33.3
17,201610250CLE,SF,LeBron James,20.0,3,41.3
18,201610250CLE,SG,James Jones,4.0,3,0.0
19,201610250CLE,PF,Kyle O'Quinn,10.0,3,0.0
20,201610250CLE,PF,Kevin Love,20.0,3,31.0
21,201610250CLE,SF,Carmelo Anthony,7.0,3,38.5
22,201610250CLE,PG,Kyrie Irving,26.0,3,35.8
23,201610250CLE,PF,Channing Frye,20.0,3,0.0
24,201610250CLE,SG,Iman Shumpert,4.0,3,0.0
25,201610250CLE,SF,Lance Thomas,7.0,3,0.0
26,201610250GSW,PG,Bryn Forbes,18.0,3,10.8
27,201610250GSW,SG,Patrick McCaw,12.0,3,10.8
28,201610250GSW,SF,Davis Bertans,11.0,3,10.8
29,201610250GSW,C,Anderson Varejao,18.0,3,0.0
30,201610250GSW,SG,Jonathon Simmons,5.0,3,0.0
31,201610250GSW,PF,Kevon Looney,25.0,3,2.3
32,201610250GSW,PG,Tony Parker,18.0,3,0.0
