,GID,Team,Spread,Over/Under
0,201610250CLE,NYK,9.0,203.0
1,201610250CLE,CLE,-9.0,203.0
2,201610250GSW,SAS,8.5,212.0
3,201610250GSW,GSW,-8.5,212.0
4,201610250POR,UTA,6.0,193.0
5,201610250POR,POR,-6.0,193.0
6,201610260BOS,BOS,-13.5,211.5
7,201610260BOS,BRK,13.5,211.5
8,201610260IND,IND,-6.0,206.5
9,201610260IND,DAL,6.0,206.5
10,201610260LAL,HOU,-6.5,222.0
11,201610260LAL,LAL,6.5,222.0
12,201610260MEM,MIN,2.5,199.0
13,201610260MEM,MEM,-2.5,199.0
14,201610260MIL,MIL,0.0,192.5
15,201610260MIL,CHO,-0.0,192.5
16,201610260NOP,NOP,-3.5,207.0
17,201610260NOP,DEN,3.5,207.0
18,201610260ORL,ORL,-4.5,201.0
19,201610260ORL,MIA,4.5,201.0
20,201610260PHI,OKC,-8.5,208.0
21,201610260PHI,PHI,8.5,208.0
22,201610260PHO,SAC,3.0,207.0
23,201610260PHO,PHO,-3.0,207.0
24,201610260TOR,TOR,-7.5,195.0
25,201610260TOR,DET,7.5,195.0
26,201610270ATL,WAS,3.5,204.0
27,201610270ATL,ATL,-3.5,204.0
28,201610270CHI,CHI,1.5,211.0
29,201610270CHI,BOS,-1.5,211.0
30,201610270POR,LAC,-2.0,209.0
31,201610270POR,POR,2.0,209.0
32,201610270SAC,SAS,-8.5,205.5
33,201610270SAC,SAC,8.5,205.5
34,201610280BRK,BRK,6.5,214.0
35,201610280BRK,IND,-6.5,214.0
36,201610280DAL,DAL,-2.0,221.0
37,201610280DAL,HOU,2.0,221.0
38,201610280DET,ORL,4.0,198.5
39,201610280DET,DET,-4.0,198.5
40,201610280MIA,CHO,2.0,198.0
41,201610280MIA,MIA,-2.0,198.0
42,201610280NOP,GSW,-10.0,219.5
43,201610280NOP,NOP,10.0,219.5
44,201610280OKC,PHO,9.5,209.0
45,201610280OKC,OKC,-9.5,209.0
46,201610280TOR,TOR,2.5,204.0
47,201610280TOR,CLE,-2.5,204.0
48,201610280UTA,LAL,8.5,201.5
49,201610280UTA,UTA,-8.5,201.5
50,201610290CHI,CHI,-3.0,210.5
51,201610290CHI,IND,3.0,210.5
52,201610290CHO,BOS,-2.0,205.0
53,201610290CHO,CHO,2.0,205.0
54,201610290CLE,ORL,12.0,205.0
55,201610290CLE,CLE,-12.0,205.0
56,201610290DEN,DEN,-2.0,211.0
57,201610290DEN,POR,2.0,211.0
58,201610290MIL,BRK,6.5,205.5
59,201610290MIL,MIL,-6.5,205.5
60,201610290NYK,MEM,2.0,197.5
61,201610290NYK,NYK,-2.0,197.5
62,201610290PHI,PHI,7.0,204.5
63,201610290PHI,ATL,-7.0,204.5
64,201610290SAC,MIN,1.5,205.5
65,201610290SAC,SAC,-1.5,205.5
66,201610290SAS,NOP,13.5,206.5
67,201610290SAS,SAS,-13.5,206.5
68,201610300DET,DET,-7.5,194.5
69,201610300DET,MIL,7.5,194.5
70,201610300HOU,HOU,-5.5,216.5
71,201610300HOU,DAL,5.5,216.5
72,201610300LAC,UTA,8.0,196.0
73,201610300LAC,LAC,-8.0,196.0
74,201610300MEM,WAS,-1.0,203.5
75,201610300MEM,MEM,1.0,203.5
76,201610300MIA,SAS,-6.5,194.0
77,201610300MIA,MIA,6.5,194.0
78,201610300OKC,LAL,7.5,214.0
79,201610300OKC,OKC,-7.5,214.0
80,201610300PHO,GSW,-11.5,225.0
81,201610300PHO,PHO,11.5,225.0
82,201610310ATL,ATL,-7.0,201.0
83,201610310ATL,SAC,7.0,201.0
84,201610310BRK,CHI,-6.0,212.0
85,201610310BRK,BRK,6.0,212.0
86,201610310LAC,LAC,-10.0,206.0
87,201610310LAC,PHO,10.0,206.0
88,201610310TOR,DEN,7.0,204.0
89,201610310TOR,TOR,-7.0,204.0
90,201611010CLE,HOU,9.0,218.0
91,201611010CLE,CLE,-9.0,218.0
92,201611010DET,NYK,4.0,199.0
93,201611010DET,DET,-4.0,199.0
94,201611010IND,LAL,9.0,216.0
95,201611010IND,IND,-9.0,216.0
96,201611010MIA,MIA,-3.5,200.5
97,201611010MIA,SAC,3.5,200.5
98,201611010MIN,MIN,-5.0,199.0
99,201611010MIN,MEM,5.0,199.0
100,201611010NOP,MIL,3.0,206.0
101,201611010NOP,NOP,-3.0,206.0
102,201611010PHI,PHI,5.0,198.0
103,201611010PHI,ORL,-5.0,198.0
104,201611010POR,POR,4.5,228.0
105,201611010POR,GSW,-4.5,228.0
106,201611010SAS,UTA,10.5,187.0
107,201611010SAS,SAS,-10.5,187.0
108,201611020ATL,ATL,-11.5,208.0
109,201611020ATL,LAL,11.5,208.0
110,201611020BOS,BOS,-3.5,211.5
111,201611020BOS,CHI,3.5,211.5
112,201611020BRK,BRK,4.5,204.0
113,201611020BRK,DET,-4.5,204.0
114,201611020CHO,PHI,12.5,196.0
115,201611020CHO,CHO,-12.5,196.0
116,201611020LAC,OKC,7.0,207.0
117,201611020LAC,LAC,-7.0,207.0
118,201611020MEM,NOP,6.0,207.0
119,201611020MEM,MEM,-6.0,207.0
120,201611020NYK,HOU,1.5,214.5
121,201611020NYK,NYK,-1.5,214.5
122,201611020PHO,POR,-3.5,216.0
123,201611020PHO,PHO,3.5,216.0
124,201611020UTA,DAL,5.0,189.5
125,201611020UTA,UTA,-5.0,189.5
126,201611020WAS,TOR,1.0,203.0
127,201611020WAS,WAS,-1.0,203.0
128,201611030CLE,CLE,-9.5,209.0
129,201611030CLE,BOS,9.5,209.0
130,201611030GSW,GSW,-11.5,226.0
131,201611030GSW,OKC,11.5,226.0
132,201611030MIL,MIL,2.0,213.0
133,201611030MIL,IND,-2.0,213.0
134,201611030MIN,DEN,3.5,209.0
135,201611030MIN,MIN,-3.5,209.0
136,201611030ORL,ORL,-1.0,199.0
137,201611030ORL,SAC,1.0,199.0
138,201611040BRK,CHO,-6.5,205.5
139,201611040BRK,BRK,6.5,205.5
140,201611040CHI,CHI,-6.5,210.0
141,201611040CHI,NYK,6.5,210.0
142,201611040DAL,DAL,1.5,206.0
143,201611040DAL,POR,-1.5,206.0
144,201611040LAL,GSW,-11.0,226.5
145,201611040LAL,LAL,11.0,226.5
146,201611040MEM,LAC,-5.5,198.0
147,201611040MEM,MEM,5.5,198.0
148,201611040NOP,PHO,3.0,212.5
149,201611040NOP,NOP,-3.0,212.5
150,201611040TOR,MIA,7.5,200.5
151,201611040TOR,TOR,-7.5,200.5
152,201611040UTA,UTA,4.0,186.5
153,201611040UTA,SAS,-4.0,186.5
154,201611040WAS,WAS,-2.0,209.5
155,201611040WAS,ATL,2.0,209.5
156,201611050ATL,ATL,-3.0,217.0
157,201611050ATL,HOU,3.0,217.0
158,201611050DET,DEN,4.0,204.5
159,201611050DET,DET,-4.0,204.5
160,201611050IND,CHI,3.0,215.0
161,201611050IND,IND,-3.0,215.0
162,201611050MIL,MIL,-2.0,204.5
163,201611050MIL,SAC,2.0,204.5
164,201611050OKC,MIN,5.5,206.0
165,201611050OKC,OKC,-5.5,206.0
166,201611050ORL,WAS,5.0,201.5
167,201611050ORL,ORL,-5.0,201.5
168,201611050PHI,CLE,-14.0,207.5
169,201611050PHI,PHI,14.0,207.5
170,201611050SAS,LAC,4.5,195.0
171,201611050SAS,SAS,-4.5,195.0
172,201611060BOS,DEN,8.0,210.0
173,201611060BOS,BOS,-8.0,210.0
174,201611060DAL,DAL,-2.0,199.0
175,201611060DAL,MIL,2.0,199.0
176,201611060LAL,PHO,3.0,217.0
177,201611060LAL,LAL,-3.0,217.0
178,201611060MEM,MEM,2.0,203.5
179,201611060MEM,POR,-2.0,203.5
180,201611060NYK,NYK,1.0,196.0
181,201611060NYK,UTA,-1.0,196.0
182,201611060TOR,SAC,9.5,200.5
183,201611060TOR,TOR,-9.5,200.5
184,201611070CHI,ORL,7.0,203.0
185,201611070CHI,CHI,-7.0,203.0
186,201611070CHO,IND,3.5,208.0
187,201611070CHO,CHO,-3.5,208.0
188,201611070GSW,GSW,-17.0,224.5
189,201611070GSW,NOP,17.0,224.5
190,201611070LAC,LAC,-8.5,197.5
191,201611070LAC,DET,8.5,197.5
192,201611070OKC,MIA,6.0,203.5
193,201611070OKC,OKC,-6.0,203.5
194,201611070PHI,UTA,-7.5,192.5
195,201611070PHI,PHI,7.5,192.5
196,201611070WAS,WAS,-1.5,216.0
197,201611070WAS,HOU,1.5,216.0
198,201611080BRK,BRK,4.0,205.0
199,201611080BRK,MIN,-4.0,205.0
200,201611080CLE,CLE,-8.5,207.0
201,201611080CLE,ATL,8.5,207.0
202,201611080LAL,DAL,5.0,205.5
203,201611080LAL,LAL,-5.0,205.5
204,201611080MEM,DEN,1.5,201.0
205,201611080MEM,MEM,-1.5,201.0
206,201611080POR,PHO,7.5,217.0
207,201611080POR,POR,-7.5,217.0
208,201611080SAC,NOP,5.5,203.5
209,201611080SAC,SAC,-5.5,203.5
210,201611090ATL,CHI,3.5,203.5
211,201611090ATL,ATL,-3.5,203.5
212,201611090CHO,UTA,2.0,193.5
213,201611090CHO,CHO,-2.0,193.5
214,201611090GSW,GSW,-16.5,209.5
215,201611090GSW,DAL,16.5,209.5
216,201611090IND,PHI,12.0,209.0
217,201611090IND,IND,-12.0,209.0
218,201611090LAC,LAC,-9.5,208.0
219,201611090LAC,POR,9.5,208.0
220,201611090NYK,BRK,8.0,212.5
221,201611090NYK,NYK,-8.0,212.5
222,201611090OKC,OKC,-3.5,201.5
223,201611090OKC,TOR,3.5,201.5
224,201611090ORL,ORL,-2.0,201.5
225,201611090ORL,MIN,2.0,201.5
226,201611090PHO,DET,-3.0,204.0
227,201611090PHO,PHO,3.0,204.0
228,201611090SAS,HOU,7.5,210.5
229,201611090SAS,SAS,-7.5,210.5
230,201611090WAS,WAS,1.5,215.0
231,201611090WAS,BOS,-1.5,215.0
232,201611100DEN,GSW,-5.0,219.0
233,201611100DEN,DEN,5.0,219.0
234,201611100MIA,MIA,-1.5,199.5
235,201611100MIA,CHI,1.5,199.5
236,201611100MIL,NOP,4.5,208.0
237,201611100MIL,MIL,-4.5,208.0
238,201611100SAC,SAC,-4.5,208.5
239,201611100SAC,LAL,4.5,208.5
240,201611110BOS,BOS,-6.0,217.0
241,201611110BOS,NYK,6.0,217.0
242,201611110CHO,TOR,3.0,198.0
243,201611110CHO,CHO,-3.0,198.0
244,201611110OKC,LAC,-5.0,204.0
245,201611110OKC,OKC,5.0,204.0
246,201611110ORL,UTA,-4.0,192.0
247,201611110ORL,ORL,4.0,192.0
248,201611110PHI,IND,-4.5,213.0
